Title,Year,URL,Image,Series,Type,Topic,Software
Podcasting for Academics with Jeff Goodes: How to Connect with Your Audience,2023-2024,https://learn.scds.ca/dmds23-24/podcast-talk.html,https://learn.scds.ca/dmds23-24/assets/img/podcast-talk.png,DMDS,Recording,TODO,TODO
Exploring Networks of Research: New Searching with AI & Visualization,2023-2024,https://learn.scds.ca/dmds23-24/networks.html,https://learn.scds.ca/dmds23-24/assets/img/Networks.png,DMDS,Recording,TODO,TODO
Getting Started with Computational Text Analyses,2023-2024,https://learn.scds.ca/dmds23-24/textanalyses.html,https://learn.scds.ca/dmds23-24/assets/img/TextAnalyses.png,DMDS,Recording,TODO,TODO
Less is More: Create Minimal Websites with Jekyll,2023-2024,https://learn.scds.ca/dmds23-24/jekyll.html,https://learn.scds.ca/dmds23-24/assets/img/Minimal.png,DMDS,Recording,TODO,TODO
Sonification: Sounding and Listening as Critical Practice,2023-2024,https://learn.scds.ca/dmds23-24/sonification1.html,https://learn.scds.ca/dmds23-24/assets/img/sonification1.png,DMDS,Recording,TODO,TODO
Sonification: Communicating Data with Sound,2023-2024,https://learn.scds.ca/dmds23-24/sonification2.html,https://learn.scds.ca/dmds23-24/assets/img/sonification2.png,DMDS,Recording,TODO,TODO
Preserving Your Digital Scholarship Projects,2023-2024,https://learn.scds.ca/dmds23-24/preserving.html,https://learn.scds.ca/dmds23-24/assets/img/Preserving.png,DMDS,Recording,TODO,TODO
Building JavaScript Websites 1: Styling Modern Web Apps,2023-2024,https://mcmasterrs.github.io/ws_web-design-guide/styling.html,https://learn.scds.ca/dr23-24/assets/img/website1.png,DR,Recording;Asynchronous Workshop,TODO,TODO
How Ideas Travel: Introduction to Research Impact,2023-2024,https://learn.scds.ca/dr23-24/intro-research-impact.html,https://learn.scds.ca/dr23-24/assets/img/intro-research-impact.png,DR,Recording,TODO,TODO
Protect Your Research Data: Introduction to Information Security for Researchers,2023-2024,https://learn.scds.ca/dr23-24/info-security.html,https://learn.scds.ca/dr23-24/assets/img/info-security.png,DR,Recording,TODO,TODO
Building JavaScript Websites 2: Designing for Mobile UI,2023-2024,https://mcmasterrs.github.io/ws_web-design-guide/mobile-ui.html,https://learn.scds.ca/dr23-24/assets/img/website2.png,DR,Recording;Asynchronous Workshop,TODO,TODO
Building JavaScript Websites 3: Easy Steps to AODA Compliance,2023-2024,https://mcmasterrs.github.io/ws_web-design-guide/aoda.html,https://learn.scds.ca/dr23-24/assets/img/website3.png,DR,Recording;Asynchronous Workshop,TODO,TODO
Best Practices for Managing Your Code and Scripts You Use to Generate Your Research,2023-2024,https://learn.scds.ca/dr23-24/code-best-practices.html,https://learn.scds.ca/dr23-24/assets/img/code-best-practices.png,DR,Recording,TODO,TODO
"Glitch: Disability, Feminism, Technology",2022-2023,https://learn.scds.ca/ds-bytes/Glitch.html,https://learn.scds.ca/ds-bytes/assets/img/AJP-Final.png,DS Bytes,Recording,TODO,TODO
How to Lie with Data,2022-2023,https://learn.scds.ca/ds-bytes/Howtoliewithdata.html,https://learn.scds.ca/ds-bytes/assets/img/HTLWD-Final.png,DS Bytes,Recording,TODO,TODO
The Value of Visuals in Science Communication,2022-2023,https://learn.scds.ca/ds-bytes/ScienceCommunication.html,https://learn.scds.ca/ds-bytes/assets/img/MB-Final.png,DS Bytes,Recording,TODO,TODO
Urban Heat Islands and Social Inequities: A Data-Driven Story,2022-2023,https://learn.scds.ca/ds-bytes/UrbanHeatIslands.html,https://learn.scds.ca/ds-bytes/assets/img/IBNS-Final.png,DS Bytes,Recording,TODO,TODO
How to Lie with Visualization,2022-2023,https://learn.scds.ca/ds-bytes/Howtoliewithvisualization.html,https://learn.scds.ca/ds-bytes/assets/img/GabbyReschFinal-2.png,DS Bytes,Recording,TODO,TODO
EQ vs IQ: Testing Gendered AI in Apple's Siri,2022-2023,https://learn.scds.ca/ds-bytes/EQIQ.html,https://learn.scds.ca/ds-bytes/assets/img/EQIQPoster.png,DS Bytes,Recording,TODO,TODO
Automating (In)securities: Cybersecurity's AI Imaginaries,2023-2024,https://learn.scds.ca/events23-24/automating-insecurities.html,https://learn.scds.ca/events23-24/assets/img/insecurities.png,Events,Recording,TODO,TODO
"EdTech Inc., Revisited",2023-2024,https://learn.scds.ca/events23-24/edtech.html,https://learn.scds.ca/events23-24/assets/img/edtech.png,Events,Recording,TODO,TODO
Zines as Critical Data,2023-2024,https://learn.scds.ca/events23-24/zines.html,https://learn.scds.ca/events23-24/assets/img/zinesCover.png,Events,Recording,TODO,TODO
"Nonhuman Witnessing: War, Data, and Ecology After the End of the World",2023-2024,https://learn.scds.ca/events23-24/nonhuman.html,https://learn.scds.ca/events23-24/assets/img/nonhuman.png,Events,Recording,TODO,TODO
Getting started with GitHub and GitHub Pages,2022-2023,https://learn.scds.ca/github-pages/,https://learn.scds.ca/github-pages/assets/img/titleSlide.png,DMDS,Recording;Asynchronous Workshop,TODO,TODO
Best Practices for Managing Data in your Research,2023-2024;2024-2025,https://learn.scds.ca/rdm-best-practices/,https://learn.scds.ca/rdm-best-practices/assets/img/titleSlide.png,RDM,Recording;Asynchronous Workshop,TODO,TODO
Crash Course: Digital Tools to Ace Grad School,2023-2024,https://learn.scds.ca/intro-rdm/researchsuccess.html,TODO,RDM,Recording,TODO,TODO
Data Management Plans + Introduction to DMP Assistant,2023-2024,https://learn.scds.ca/intro-rdm/dmp.html,TODO,RDM,Recording,TODO,TODO
Essentials of Open Data Sharing,2020-2021,https://learn.scds.ca/intro-rdm/sharing.html,TODO,RDM,Recording,TODO,TODO
Depositing & Sharing Data Online with McMaster Dataverse,2023-2024,https://learn.scds.ca/intro-rdm/dataverse.html,TODO,RDM,Recording,TODO,TODO
Storage Scores - Store and Back Up Data at McMaster,2023-2024,https://learn.scds.ca/intro-rdm/storage.html,TODO,RDM,Recording,TODO,TODO
Data Privacy Best Practices,2021-2022,https://learn.scds.ca/intro-rdm/privacy.html,https://github.com/scds/intro-rdm/raw/main/assets/img/DataPrivacy.png,RDM,Recording,TODO,TODO
Sensitive Data Management,2023-2024,https://learn.scds.ca/intro-rdm/sensitive.html,https://github.com/scds/intro-rdm/raw/main/assets/img/sensitive-data2024.png,RDM,Recording,TODO,TODO
What are ORCiDs and DOIs and why do I need them?,2023-2024,https://learn.scds.ca/intro-rdm/doi-orcid.html,https://github.com/scds/intro-rdm/raw/main/assets/img/orcid-doi.png,RDM,Recording,TODO,TODO
Before You Dig: Finding and Reusing Datasets,2022-2023,https://learn.scds.ca/intro-rdm/reuse.html,https://github.com/scds/intro-rdm/raw/main/assets/img/reuse.png,RDM,Recording,TODO,TODO
Qualitative Data: Practices for RDM Planning and Sharing,2022-2023,https://learn.scds.ca/intro-rdm/qualitative.html,https://github.com/scds/intro-rdm/raw/main/assets/img/qualitative.png,RDM,Recording,TODO,TODO
How to Implement Encryption to Protect your Research Data Online,2022-2023,https://learn.scds.ca/intro-rdm/encryption.html,https://github.com/scds/intro-rdm/raw/main/assets/img/encryption.png,RDM,Recording,TODO,TODO
Organizing your Research Projects with the Open Science Framework (OSF),2021-2022,https://learn.scds.ca/intro-rdm/osf.html,TODO,RDM,Recording,TODO,TODO
What You Need to Know about the Tri-Agency Research Data Management Policy,2022-2023,https://learn.scds.ca/intro-rdm/triagency.html,TODO,RDM,Recording,TODO,TODO
Town Hall: McMaster Draft RDM Institutional Strategy,2022-2023,https://learn.scds.ca/intro-rdm/townhall.html,TODO,RDM,Recording,TODO,TODO
Data Visualization with Tableau,2020-2021,https://learn.scds.ca/intro-tableau/,https://learn.scds.ca/intro-tableau/assets/img/dmds-tableau.png,DMDS,Recording,TODO,TODO
Intro to BAO,2022-2023,https://learn.scds.ca/intro-to-bao/,TODO,DASH,Asynchronous Workshop,TODO,TODO
LaTeX for Humanists,2021-2022,https://learn.scds.ca/latex-humanists/,https://learn.scds.ca/latex-humanists/assets/img/TWITTER-LaTeX%20for%20human%20Mar%202.png,DMDS,Recording,TODO,TODO
Podcasting 101,2021-2022,https://learn.scds.ca/podcasting/,https://learn.scds.ca/podcasting/assets/img/TitleSlideFinal.jpg,DMDS,Asynchronous Workshop,TODO,TODO
Communicating Research Beyond Academia,2021-2022,https://learn.scds.ca/research-beyond-academia/,TODO,RR,Recording,TODO,TODO
Social Media Research Ethics,2020-2021,https://learn.scds.ca/sm-research-ethics/,https://learn.scds.ca/sm-research-ethics/assets/img/dmds-smre.png,DMDS,Recording,TODO,TODO
Pre-Processing Digitized Texts,2021-2022,https://learn.scds.ca/text-analysis-1/,https://learn.scds.ca/text-analysis-1/assets/img/titleSlide.png,DMDS,Asynchronous Workshop,TODO,TODO
Identifying Proper Nouns with Named Entity Recognition,2022-2023,https://learn.scds.ca/text-analysis-2/,https://learn.scds.ca/text-analysis-2/assets/img/titleSlide.png,DMDS,Asynchronous Workshop,TODO,TODO
Exploring Themes with Topic Modeling,2022-2023,https://learn.scds.ca/text-analysis-3/,https://learn.scds.ca/text-analysis-3/assets/img/titleSlide.png,DMDS,Asynchronous Workshop,TODO,TODO
Transcending Mental Models,2021-2022,https://learn.scds.ca/transcending-mental-models/,TODO,RR,Recording,TODO,TODO
Data Sonification,2024-2025,https://learn.scds.ca/data-sonification/,https://learn.scds.ca/data-sonification/assets/img/titleSlide.jpg,DMDS,Asynchronous Workshop,TODO,TODO
